blogText,blogTime,blogForwardNum,blogCommentNum,blogLikeNum,comment_1_text,comment_1_likeNum,comment_2_text,comment_2_likeNum,comment_3_text,comment_3_likeNum,comment_4_text,comment_4_likeNum,comment_5_text,comment_5_likeNum,comment_6_text,comment_6_likeNum,comment_7_text,comment_7_likeNum,comment_8_text,comment_8_likeNum,comment_9_text,comment_9_likeNum,comment_10_text,comment_10_likeNum
通报武汉市部分医疗机构发现接诊了多例肺炎病例市卫健委就此发布了情况通报但一些网民在不经核实的情况下在网络上发布转发不实信息造成不良社会影响公安机关经调查核实已传唤名违法人员并依法进行了处理名散布武汉肺炎谣言者被依法查处查看图片,2020-01-01 19:14,274,859,4213,那到底是啥你说清楚什么都不说明白整天辟谣你要是让大家整明白了哪还有谣谁信谣,373,厉害了我的国天网无处不在所有人的一言一行躲不开天网监控,323,难道没有这回事,242,弱弱的问一句散步的什么谣言,154,辟谣就行了官方都没确定是什么肺炎民众有恐慌转发一下有什么关系要是官方不通报不回应老百姓就不能说了简直有病,183,网民不经核实呵呵用什么方式核实年的伤疤转眼就忘了至少年还没有用传播谣言罪把揭露禽流感真相的人给抓起来,176,就跟当年的非典一样,107,迎新方式有点与众不同,59,不及时披露反倒及时抓人言论自由的边界在哪里,75,事实都没出来怎么就说人家说的不是事实嘛,45
一则关于休市整治的公告出现在武汉华南海鲜批发市场门口公告称决定对华南海鲜批发市场实行休市进行环境卫生整治武汉市卫健委发布通报称该市部分医疗机构发现接诊的多例肺炎病例与华南海鲜城有关联市卫健委接到报告后立即在全市医疗卫生机构开展与华南海鲜城有关联的病例搜索和回顾性调查目前已发现例病例其中例病情严重其余病例病情稳定可控有例病情好转拟于出院所有病例已隔离治疗调查未发现明显人传人现象目前对病原的检测及感染原因的调查正在进行中网页链接,2020-01-01 21:23,53,41,191,问题搞大了才查,20,那个海鲜市场还贩卖各种动物肉活该孽力回馈,9,一定要控制住啊,4,如果九省通衢开了花病毒到哪里都是五个小时那就太恐怖了,5,能早点给个详细的讲解吗有点怕怕,0,鱼,0,楊超綱,0,平平安安过年,0,到底是什么原因呀还没出结果嘛搞的我心慌慌的不管好坏也可以放下心中石头啊,0,还没出结果嘛,0
今日武汉相关部门发出公告经研究决定对华南海鲜批发市场实行休市进行环境卫生整治请广大商户积极配合开市时间另行通知武汉已发现例病毒性肺炎病例目前尚未发现明显人传人现象,2020-01-01 11:56,128,110,481,食品安全不容忽视,19,所以说食品安全义不容辞,11,希望早日查出病原病因,11,食品安全不容忽视必须要严查,5,图片评论评论配图,7,平平安安,4,希望尽早得到控制大家过个好年,4,希望大家都平平安安的在新的一年里,2,食品安全重视起来吧,2,食品安全不容忽视,2
连线到目前正在医院中隔离治疗的黄勇他表示目前数十名患者都在一起进行治疗黄勇称自己发病了十多天一开始以为是感冒另一患者家属梁丽告诉患者被隔离治疗后还没被允许探望,2020-01-01 21:50,31,43,141,患者家属没有患病这消息太好了证明亲密接触并没传染那传染源是什么家属能提供一些信息就好了,27,至少没有烈性传染好消息,18,市场休市是正确的在尚未查明病毒前休市可以控制病毒的继续扩散减少感染者武汉中心医院后湖院区是离市场最近的三甲医院应该有能力控制患者病情,13,经历过非典我们随时能战,2,可以可以十多天家人没感染应该没有大问题了,6,该去医院还是得去医院,0,这就尴尬了俺也感冒了,0,少去人潮拥挤的室内防止被传染,0,中心医院呢,0,不是谣言么又成真的了,0
我市部分医疗机构发现接诊了多例肺炎病例市卫健委就此发布了情况通报但一些网民在不经核实的情况下在网络上发布转发不实信息造成不良社会影响公安机关经调查核实已传唤名违法人员并依法进行了处理警方提示网络不是法外之地在网上发布信息言论应遵守法律法规对于编造传播散布谣言扰乱社会秩序的违法行为警方将依法查处绝不姑息希望广大网民遵守相关法律法规不造谣不信谣不传谣共建和谐清朗的网络空间,2020-01-01 18:39,49,179,366,不造谣不信谣不传谣,18,现在社会造谣生事的都是脑子有泡,18,毛主席说没有调查就没有发言权未经求证请不要以讹传讹扰乱社会秩序,13,谣言散播者必须得到惩治,12,呵呵,8,支持,7,这些害群之马,11,连一线都没去的人说得自己就在现场一样,8,,,,
武汉华南海鲜市场陆续出现不明原因肺炎病人起华南海鲜市场已进行休市整治新京报记者在华南海鲜市场看到门口贴着武汉市江汉区市场监督管理局和江汉区卫生健康局联合发布的关于休市整治的公告公告显示根据国务院突发公共卫生事件应急条例等法规条例的规定及武汉市卫生健康委关于当前我市肺炎疫情的情况通报经研究决定对华南海鲜批发市场实行休市进行环境卫生整治请广大商户积极配合开市时间另行通知落款时间为武汉华南海鲜市场今日起休市整治,2020-01-01 10:09,204,306,603,肺炎疫情直接明说是疫情不就行了还要隐瞒起来让老百姓明明白白好做好防御措施别整天忽悠肺炎需要关闭市场吗隐瞒真相也是一种犯罪,45,吃啊继续啊该好好的东西不吃非得吃猫吃狗吃野味,22,继续野味嗨起来呀这就是大自然对人类的报复,21,好几天了才让市场休市,10,没有消费就没有伤害大家不要吃野味菜市场监管也必须严厉,13,希望大家都能平平安安的,2,新年快乐,0,新年好恭喜发财,1,会死人的肺炎是啥,1,会不会有大事情啊求平安,1
,2020-01-01 18:27,39,119,231,那到底是啥病官方给个解释撒,17,不传谣不造谣,17,吓得我瑟瑟发抖差点回家的机票都取消了,6,就跟当年的非典一样,11,那些股市评论员经常说大涨结果跌的怎么处置,4,斩立决,2,不造谣不传谣不信谣,2,网络不是法外之地谣言止于智者,1,网络不是造谣之地造谣者必将受到法律的制裁,2,不传谣不信谣不信谣,1
华南海鲜市场附近小区有居民也感染了不明原因肺炎目前已进入传染病医院隔离治疗武汉华南海鲜市场不明原因肺炎事件持续引发公众关注新京报记者走访发现相关患者已于转入武汉市一家突发公共卫生事件医疗救治定点医院也是一家传染病专科医院金银潭医院进行隔离治疗外人和家属一律不得探视有患者表示其病情已无大碍希望外界不用再担心此外新京报记者了解到华南海鲜市场附近小区有居民也感染了不明原因肺炎目前已进入上述医院隔离治疗武汉市卫健委宣传处负责人向新京报记者表示关于此事的所有消息会第一时间在卫健委官方网站上公布目前没有最新进展武汉不明原因肺炎患者转入传染病医院市场附,2020-01-02 13:54,1545,4448,57156,一会儿会传染一会儿不传染你们官方说的话到底有几句可信的,8799,武汉不明肺炎的信息披露堪忧啊大家还是提高警惕吧,4300,政府第一时间公布实情最重要的疫情和处理方法今天可能天下大乱胡说八道可能会一团糟为社会安详不要传播没有根据的人和事政府更应该第一时间第一责任实事求是做好工作不要摸石头过河委过是非,2508,当年非典起初也是选择瞒报结果被终南山院士撕破了遮羞布,1093,我可以不信谣不传谣但信息发布太官方太模糊了感染人数控制方法如果没有发现明显人传人为什么又成传染病马上要春运了得控制住啊,614,尽快确定病情不信谣不传谣,541,医药板块异动病毒防治板块异动,437,只有新京报还在坚持跟进持续关注,353,此刻最想听钟南山院士发声,298,咋回事啊没有个权威的说法到底会不会传染武汉是九省通衢马上要春运了如果瞒报会出大事的,256
武汉华南海鲜市场肺炎疫情持续引发关注在武汉医疗救治中心一位患者家属对称患者经治疗恢复良好但是被通知继续留院治疗原本号号就可以出院该患者家属表示目前无法探望,2020-01-02 17:29,178,697,6977,现在还没查出来病毒真面目不敢轻易放人,796,害新京报看看就行了没什么可靠性,381,我觉得这样处理是对的在病因不明的情况下既是对患者家人负责也是对社会负责,86,新京报有时候是个人有时候又吃人血馒头请继续追踪别像当年非典一样藏着掖着最后爆发就晚了,98,武汉这么多大学生马上就要放寒假了会不会传出去啊在武汉读书的我有点慌的我有点慌,78,能通话吗这样隔离有点吓人啊生死都不知道,40,有了非典的经验后国家更加慎重了这是好现象,39,检验结果没出来不放人出来很合理呀不代表说疫情严重了新京报起这个标题太容易引起恐慌了吧,28,难道是,25,这样生活在武汉的人很惶恐,30
据新京报记者走访发现武汉华南海鲜市场相关肺炎患者已于转入武汉市一家传染病专科医院进行隔离治疗有患者表示其病情已无大碍希望外界不用再担心武汉不明原因肺炎患者转入传染病医院市场附,2020-01-02 13:57,466,1049,6954,只希望第一时间公布最新情况不要再像年那样刻意隐瞒故意虚报导致大范围传染,1309,点开文章看看里面已经说了附近小区也有人感染了而且医院保安也说现在是特殊情况和以前流程不一样报道别只报喜不报忧啊希望公开透明,367,希望早日康复不要传谣,91,附近小区居民有感染的这是文章的重点信心啊,127,有患者表示问题不大还有没有患者表示问题不轻呢毕竟人危重,117,热评第一的删除别人的评论,52,不信谣不传谣,48,已无大碍的可能和转入传染科的不是同一类病毒,59,感觉现说话遮遮掩掩避重就轻例如去年月也是也是说不信谣不传谣也是说有信心解决如果当初不隐瞒做点实事现在猪价绝对不会像现在这样上天了,88,马上春运就要开始了如果不快点查明原因采取必要措施春运可是大规模传播的绝佳时机,65
武汉华南海鲜市场不明原因肺炎事件持续引发公众关注记者走访发现相关患者已于转入武汉市一家突发公共卫生事件医疗救治定点医院也是一家传染病专科医院金银潭医院进行隔离治疗此外记者了解到华南海鲜市场附近小区有居民也感染了不明原因肺炎目前已进入上述医院隔离治疗,2020-01-02 13:49,573,872,5335,戳链接看更多武汉肺炎患者转入传染病医院市场附近居民感染,10,到现在查不出来两种可能一种是不能说一种就是新的,1108,不信谣不传谣坐等最终结果,192,金银潭医院官网介绍该院是湖北省武汉市突发公共卫生事件医疗救治定点医院是湖北省肝病结核病艾滋病血吸虫病手足口病人感染禽流感等定点收治医院和武汉市感染性疾病医疗质量控制中心,82,希望能够尽快解决,48,其实挺可怕的我记着非典也是年前过年春运散播全国,60,卧槽马上春运了不是不会传染吗,48,我还是华南海鲜市场楼上办公的小哥这他妈我就有点慌了,47,武汉顶住加油武汉,38,就不能多说两句附近是多近有多少居民住院,25
连线到目前正在医院中隔离治疗的黄勇他表示目前数十名患者都在一起进行治疗黄勇称自己发病了十多天一开始以为是感冒另一患者家属梁丽说患者被隔离治疗后还没被允许探望,2020-01-02 09:00,28,124,428,同在武汉的我心慌慌,67,你这说了等于没说还是没有给大家明确答复到底是什么病毒在武汉的我瑟瑟发抖,33,当新京报是什么好东西,14,不是说不人传人为什么隔离还不让人看,18,请大家看权威的报道什么小报道不可信尤其新京报昨天一篇文胡说八道,4,具体是什么症状我感冒也好几天了好不起来还不停得咳嗽,7,回复王球球呀丶您哪只眼看到谁说的不人传人官方说法是尚未发现人传人,3,米粒家的车子,0,嗯,0,拜托浪浪及时发送相关消息,0
中午中国经营报记者在位于武汉市东西湖区的金银潭医院看到住院部南楼四楼大门紧闭门口贴有致家属告示三点到四点集中送生活用品记者在四楼看到目前家属过来送饭和用品只能在门口交给医务人员不能入内探视据多位患者家属介绍目前从各个医院转移过来的发烧病人主要集中在医院南楼四楼和六楼五楼目前已清理腾空准备接收新的病人武汉市金银潭医院宣传科一位刘姓工作人员表示所有信息发布统一由武汉市卫健委官方公告为准我们无权接受采访和发布任何信息,2020-01-02 16:52,85,37,309,这些拍摄的记者牛逼总算有些消息了注意安全,53,为了拍视频也是拼了记者,22,接收新的病人真的好吓人,31,接收病人这装备也太他妈吓人了,24,各位医护人员穿的几级生化服啊,27,其实也没什么大问题出门戴口罩,7,看到医护人员的防护措施真的要吓哭了官方可以赶快给回应吗央视新闻平安武汉武汉发布,8,什么情况,2,,3,本武汉人真的好怕密切关注中希望能及时通报情况,2
据新京报记者走访发现武汉华南海鲜市场相关肺炎患者已于转入武汉市一家传染病专科医院进行隔离治疗有患者表示其病情已无大碍希望外界不用再担心此外新京报记者了解到华南海鲜市场附近小区有居民也感染了不明原因肺炎目前已进入上述医院隔离治疗武汉不明原因肺炎患者转入传染病医院市场附,2020-01-02 15:32,48,140,1404,关键词新京报,395,新京报那再探再报,216,垃圾新京报,112,前半截能看看后半截等官宣,54,新京报,53,新京报放的屁我都不信无良媒体造完谣再辟谣,57,隔离观察等等后面的通报,3,出政策整改菜市场缺少卫生监管,7,用一个换行符与心惊报划清界限,10,小编要慎转啊,5
全国个高速省界收费站撤销央行将下调金融机构存款准备金率名散布武汉肺炎谣言者被依法查处美加州枪击案名嫌疑人被捕日产前藏身乐器盒中逃离日本重庆渝北居民楼发生火灾市民掀翻堵路汽车,2020-01-02 10:28,87,68,162,法治新闻速览重庆渝北居民楼发生火灾市民掀翻堵路汽车全国个高速省界收费站撤销央行将下调金融机构存款准备金率名散布武汉肺炎谣言者被依法查处美加州枪击案名嫌疑人被捕日产前藏身乐器盒中逃离日本,9,消防通道是生命通道,7,新闻早知道,3,,0,,0,法治新闻速览安哥上午好,2,新聞速遞早安政法君米奇比心,3,法治新闻速览重庆渝北居民楼发生火灾市民掀翻堵路汽车,1,新闻早知道,0,新闻速览话说那个藏的是大提琴盒吗,0
有多名网友发视频称武汉出港航班发现疑似传染病人因武汉发现多例肺炎病例上述视频引发关注发微博称经多方核实武汉天河机场及各航空公司均未发现该帖所称的疑似传染病人乘机也无视频中出现的航班武汉天河机场已报公安机关调查处理请大家不要转发不实信息,2020-01-02 13:58,69,476,3098,网上活生生把这件事渲染出了生化危机的感觉,837,人在武汉稳得一批反倒是网友挺上心,325,推特脸书上好多反动分子在造谣,167,谣言动动嘴辟谣跑断腿造谣者可耻,139,不信谣不传谣坐等最终结果,54,为何进展迟迟不通报心里慌的一批,46,造谣的给它罚到站不起来,11,头条新闻不就在造谣么头条新闻,7,我都感觉是潜伏在中国的间谍在制造恐慌了都行小姐我现在就在天河机场真的路上机场大家都很淡定没有几个戴口罩的劳资一生最爱在幼儿园哄小孩人在武汉稳得一批反倒是网友挺上心,4,他妈的造谣人真该严惩家里十个月的宝宝过几天正好要带着出去看到传播的谣言家里人讨论好久到底退不退票现在一块石头终于落地,5
近日国家药品监督管理局批准了两个国产疫苗的上市注册申请即首个国产十三价肺炎球菌多糖结合疫苗和首个国产重组人乳头瘤病毒疫苗这两个国产疫苗分别可以预防小年龄群婴幼儿肺炎和女性宫颈癌等疾病它们的获批上市填补了我国此类国产疫苗的空白也打破了长期国外技术的垄断根据世卫组织的建议到岁少女接种宫颈癌疫苗是最有效的预防措施疫苗你接种了吗这支被很多人抢着接种的疫苗今后将不用担心,2020-01-02 09:55,35,50,78,岁以上的女孩呢,7,四价直接预约不上,1,价位呢,1,会开放男性接种吗,2,和现在的九价疫苗有什么区别吗哪个更好一些,0,九价预约了一年多都没约上后来直接断货了,1,你家的洁纯,1,孩子都快三岁了百白破的疫苗还是没有有的只有限量和人情才能打上市面上什么时候才会有我们还打不打这个疫苗了,0,突破一小步健康一大步为中国技术革新点赞,0,就不让我们岁种价么,0
武汉发现不明原因肺炎当地已对相关联的海鲜市场休市整治目前来看发现的多个病例为病毒性肺炎未发现明显人传人现象和医务人员感染经过多年建设我国应对突发公共卫生事件已积累了宝贵的经验和行动指南让我们一起积极预防提高自身免疫力不信谣不传谣不恐慌共筑平安,2020-01-02 07:00,30,85,304,未发现明显这个个词值得商榷不管是新闻还是检测机构说的这话模棱两可,46,只有我这个在武汉的人天天搜这个太可怕了,29,官方应该及时公布消息马上要春运了,33,传说这个海鲜里野味很多真假,12,希望广大网民遵守相关法律法规不造谣不信谣不传谣共建和谐清朗的网络空间,2,所以到底是什么肺炎要多久才能查出来,5,有些事情不是我们能决定的但我们也能做些积极的应对比如少去公共场所常戴口罩有症状及时就医多喝水多休息包括不传谣不信谣维护社会稳定,2,是人传人的麽,1,早上好,0,酒后吐真言,1
武汉市江汉区市场监督管理局武汉市江汉区卫生健康局发出关于休市整治的公告近日武汉市出现例病毒性肺炎与华南海鲜批发市场有关联本着对社会负责对市民负责对商户负责的原则根据国务院突发公共卫生事件应急条例等法规条例的规定及武汉市卫生健康委关于当前我市肺炎疫情的情况通报华南海鲜批发市场暂时休市进行环境卫生整治确保公共安全,2020-01-02 11:18,12,37,171,找到原因了没,13,是不是得先把这失职的局长拘起来,9,原因都不发布,5,海鲜听说现在海鲜里也有野味了当地不知道,7,关闭的太晚了太晚了,10,肺炎病毒应该和海鲜很难在一起是否海鲜市场的哺乳动物老鼠猫,3,野味餐馆就那样堂而皇之的在市场经营,3,这俩发公告的单位早干嘛去卖了那么久看不到检查不到装聋作哑,1,科学预防疾病做好个人防护相信我们的政府,0,这么久了肺炎的成因是什么,0
武汉华南海鲜市场肺炎持续引发关注在武汉医疗救治中心一位患者家属对称患者经治疗恢复良好但是被通知继续留院治疗原本号号就可以出院该患者家属表示目前无法探望,2020-01-02 17:07,16,26,77,到现在查不出来两种可能一种是不能说一种就是新的,24,春运时间还是保守点好多观察观察,7,站在他病人的角度是希望快出院站在我们的角度是哥你先住着大过年的不要这样我们会怕,5,不传谣不信谣等官方,2,希望官方尽快给出最新消息吧,2,新京报我们视频重新编辑一下倒数第二行,0,安全第一,0,强制整改全部菜市场,0,到底传染源是什么,0,现代医学发展的速度已经跟不上病毒变异复制的速度人不遵守自然秩序必然遭到自然的报复人不可能胜天,1
有多名网友发视频称武汉出港航班发现疑似传染病人因武汉发现多例肺炎病例上述视频引发关注武汉天河机场称经多方核实上述消息不属实机场已报公安机关调查处理,2020-01-02 12:39,19,76,219,需要解释一下视频中出现的穿防护服的人是干嘛的,59,放到现在你品你细品,15,这两个人从哪来的机场没人管,4,当时还说报警处理无语了,2,在拍电影吗,0,,1,验体温吧记得非典的时候也有这样的,0,造谣者太过分了啊,1,这周日要到武汉坐飞机,1,我又会看新闻了还被说是武汉的飞机为啥不是别个城市的这到底是国外的还是有人谣言说飞机有传染病人或者咱阴谋论真的是哪个国给咱弄的病毒,0
位于武汉闹市区的华南海鲜批发市场多家商铺被要求休市进行环境卫生整治一位来自海鲜城的患者告诉他之前在武汉同济医院就诊后被转移到金银潭医院金银潭医院一位医护人员透露现在全部肺炎病人都在住院部南四楼流感应急病房隔离治疗对于不明原因肺炎金银潭医工作人员告诉大家不必恐慌因为每年到了这个时候都是病毒性感冒的高峰季节所谓不明原因是因为感染病毒变异很快还没有查清楚是什么病毒所致这些病人并非都是海鲜城店铺老板或工作人员但多数住在海鲜城周围武汉不明原因肺炎患者已隔离治疗涉事海鲜城,2020-01-02 14:36,43,109,196,到现在查不出来两种可能一种是不能说一种就是新的,40,变异很快,4,白马会所大当家,1,重点在野生动物吧,2,现在再看唉,1,愿平安跨年,0,哎,0,现在是号已经快两千万了,2,这是月号发的现在是号已经满目疮痍,2,希望不管是什么官方能站出来说话,2
