评论,向量
"两例 等差数列 增长 公知们 不说 瞒报 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"祝 台独 早日 归西 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012357403215122607 0 0 0 0 0 0 0 0 0 0 
"病魔 早日 战胜 蔡 阿姨 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012357403215122607 0 0 0 0 0 0 0 0 0 0 
"作业 高级 抄 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"忘 中医 治疗 国家 好运气 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01635511312081419 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"震撼 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"作业 抄 抄 不来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"赶紧 管制 入境 人口 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"中医 患者 控制 轻症 
",0 0 0 0 0 0 0 0 0 -0.0341877522337825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"隔离 传染源 切断 传播 途径 
",0 0 0 0 0 0 -0.05580573817262662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"抄 作业 讲究 方法 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"支持 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"不知情 防护 一线 战场 缺 物资 肉搏 物资 红十管 申领 难终 等到 八方 来援 喘息 职责所在 命相 拼 致敬 一线 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.023742832737553787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0 0 0 0 0 0.011033715592480035 0 0 0 0 
"不得不 救人 防护服 感染 
",0 0 0 0 0 0 0 0 0 0 0 0 0.03240461715223424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"顶上去 仁川 机场 山东 青岛 平时 流入量 今天下午 激增 青岛 零 确诊 好多天 爆发 新冠 拨打 政府 热线 网友 救救 青岛 置顶 
",0.16229969974342018 0 0 0.0654241812333372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"生活 哪有什么 岁月 静好 有人 负重 前行 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025648611953946063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"尸位素餐 人害 该死 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"湖北 做出 牺牲 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027554391170338338 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"青岛 回流 青岛 山东 再炸 百姓 急死了 做不了 快 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"患者 超 来自 湖北 来自 
",0 0 0 0 0 0 0 0 0 -0.03324645949606823 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"湖北 前期 防护用品 肉搏 全国 支援 湖北 真心 心疼 湖北 宝贝 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"最早 八位 医生 最早 管控 红十字 尽职尽责 感染 牺牲 
",0 0 0 0 0 0 0 0 0 0 0 0 0.03481239056292657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01375586308078748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"山东 青岛 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"关注 飞 山东 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"请求 关注 烟威青 地区 就算 禁止 入境 至少 隔离 听之任之 算 怎么回事 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"关注 山东半岛 人民 求救 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021508867355499575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"以色列 入境 求求 青岛 想 活着 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"我国 新冠 肺炎 处在 转机 禁止 新冠 肺炎 国家 入境 功亏一篑 加油 
",0.16229969974342018 0.11893340588759513 0 0 0.0652293489775361 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"福将 评论 配图 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"烟威青 入境 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"警示 全国 地方 韩日 飞 回 国内 航班 检查 地区 入境 告知 自我 隔离 毕竟 命运 共同体 担心 反向 输入 一波 不到 禁止 至少 严谨 对待 制度 人民 很难 自觉遵守 隔离 多加 
",0 0 0 0 0 0 -0.0628736455403051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0.01761959271039554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"太好了 小宝宝 健康成长 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"载入 吉尼斯世界纪录 连累 数最多 个体 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"慌 举办 节日 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"身体 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"室外 传染 几率 不大 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"未必 人有 参与 感染 风险 
",0 0 0 0 0 0 0 0 0 0 0 0 0.029996843741541917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"几个 五万 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"跑 毒 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"随风 奔跑 自由 方向 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"超级 传染源 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"意新冠 肺炎 号 患者 跑 马拉松 带来 影响 一颗 躁动不安 
",0 0.11893340588759513 0 0 0 0 0 0 0 -0.0335476731721368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"可爱 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"会上 排练 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"太难 护理 操作 文艺表演 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"版 小天鹅 米奇 比心 米奇 比心 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"可爱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"算是 苦中作乐 希望 健康 快乐 
",0 0 0 0 0 0 0 0 0 0 0.03810894206449903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"可爱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"确实 快乐 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"可爱 可爱 出门 尽量 出门 出门 做好 防护 加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"飞 青岛 航班 运营 青岛 大使馆 发 保证书 不用 隔离 飞 青岛 航班 从涨 有班飞 青岛 航班 人流量 惊人 麻烦 相关 部门 重视 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"即将 抵达 航班 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"暂时 入境 山东半岛 恐慌 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"一眼 山东 山东半岛 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"青岛 航班 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"点亮 世界地图 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"快 山东 青岛 好不容易 控制 差不多 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"国外 国内 增长 快 感觉 封 小区 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"禁止 旅行 史 入境 回来 隔离 
",0 0 0 0 0 0 -0.05273273496928815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"标题 新冠 肺炎 正以 马拉松式 传播 
",0.16229969974342018 0.11893340588759513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"爆发 初期 感染 超负荷 运转 导致 抵抗力 下降 重症 希望 牺牲 报道 
",0 0 0 0 0 0 0 0 0 0 0.03351498740466901 0 0.032203969368009885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012154548051253013 0 0 0 0 0 0 0 0 
"牺牲 惨烈 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"原因 前期 太累 免疫力 下降 导致 病毒 入侵 缺乏 防护 设备 当地政府 工作失误 能力 关系 
",0 0 0 0 0 -0.0646734631864051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02712031367959566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"全国 支援 几万名 才能 勉强 控制 住 局面 想象 二十天 那点 医疗 力量 顶住 想象 最早 强行 顶住 疫情 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014932868175701513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"一开 重视 搞 全国 漫延 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"爱 家人 爱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"加油 湖北 加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这是 战役 烈士 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"病毒 浓度 太大 
",0 0 0 0 0 -0.059201934998045956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"大学生 上网 课 现场 课 没什么 区别 网课 学期 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"考试 自学成才 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"宿舍楼 密集 一想 可怕 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"苦 大学 情侣 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"生命 延迟 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"非常 不想 开学 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012085961406492905 0 0 0 0 0 0 0 
"超级 超级 超级 超级 想 学校 网课 群 好多 软件 好多 一门 课 好几个 软件 还要 好多 笔记本 希望 疫情 快点 结束 加油 加油 加油 
",0 0 0.1181414372099206 0 0.0652293489775361 0 0 0 0 0 0.051765516371448266 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"很想 开学 超级 期待 那天 到来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012085961406492905 0 0 0 0 0 0 0 
"大四 毕业 有序 开学 实在 顶不住 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012085961406492905 0 0 0 0 0 0 0 
"暑假 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"控制 飞 山东 估计 山东 沦陷 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"请 山东省政府 入境 山东 做好 隔离 山东 啊啊啊 
",0 0 0 0 0 0 -0.0544089185347455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"解封 复工 复产 走亲访友 放松 防控 疫情 防控 经济 发展 两不误 切记 出门 戴 口罩 勤洗手 聚餐 聚集 胜利 无数 努力 功亏一篑 
",0 0 0.1181414372099206 0 0 0 0 0.047379477677191445 0 0 0 0 0 0.02689686982306411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"关注 青岛 流入 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"请 山东省政府 入境 青岛 威海 烟台 人多 机票 涨价 没票 请 山东 政府 重视 蹲 多天 白费 失控 后果 不堪设想 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.010948459156470044 0 0 0 
"山东 山东 山东 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"放松 一刻 千万别 出门 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"好不容易 控制 局面 国外 人来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
